                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.32021,                  0.308,                0.96774,                0.83324,                0.80144,                0.87215,                0.70669,                0.80374,                0.65517,                 1.3548,               0.008845,               0.008845,               0.008845
                     37,                0.31572,                0.30412,                 0.9647,                0.88218,                0.78289,                0.87704,                0.70819,                0.79948,                0.65332,                 1.3491,               0.008812,               0.008812,               0.008812
                     38,                 0.3138,                0.29733,                0.96672,                0.84976,                0.81442,                0.88365,                0.71759,                0.79078,                0.64261,                 1.3435,               0.008779,               0.008779,               0.008779
                     39,                0.31194,                0.29732,                0.96189,                0.89682,                0.78581,                0.88422,                0.72267,                 0.7846,                0.62286,                 1.3337,               0.008746,               0.008746,               0.008746
                     40,                0.30646,                0.29342,                0.95808,                0.85398,                0.81452,                0.88671,                 0.7198,                0.77817,                0.63014,                 1.3235,               0.008713,               0.008713,               0.008713
                     41,                0.30667,                0.29098,                0.95847,                0.88255,                 0.7958,                 0.8868,                 0.7233,                0.75776,                0.61887,                 1.3065,                0.00868,                0.00868,                0.00868
                     42,                0.30434,                0.28967,                0.95869,                  0.877,                0.81029,                0.89496,                0.73468,                0.74708,                0.59576,                 1.2938,               0.008647,               0.008647,               0.008647
                     43,                0.29894,                0.28112,                0.95381,                0.89985,                 0.8072,                0.90245,                0.74356,                0.74881,                0.58179,                 1.2873,               0.008614,               0.008614,               0.008614
                     44,                0.29955,                0.28296,                0.95533,                 0.9088,                0.80488,                0.90285,                0.74598,                0.74041,                0.56832,                 1.2764,               0.008581,               0.008581,               0.008581
                     45,                0.29967,                0.28223,                0.95291,                 0.8901,                0.82484,                0.90686,                0.75195,                0.73667,                0.55681,                 1.2718,               0.008548,               0.008548,               0.008548
                     46,                0.29591,                0.28033,                0.95167,                0.90194,                0.81774,                 0.9088,                0.74922,                0.72772,                0.56079,                 1.2689,               0.008515,               0.008515,               0.008515
                     47,                0.29462,                0.27323,                0.95302,                0.89171,                0.81782,                0.90907,                0.74876,                0.72496,                0.55345,                 1.2667,               0.008482,               0.008482,               0.008482
                     48,                0.29043,                0.27429,                0.94755,                0.89181,                0.84881,                0.91645,                 0.7587,                0.71532,                0.54291,                 1.2474,               0.008449,               0.008449,               0.008449
                     49,                0.28978,                0.27121,                0.94818,                0.90467,                0.83606,                0.91629,                0.76214,                0.71425,                0.53826,                 1.2482,               0.008416,               0.008416,               0.008416
                     50,                0.28868,                0.26884,                0.94753,                0.88942,                0.85591,                 0.9167,                0.76215,                0.71249,                0.53851,                 1.2444,               0.008383,               0.008383,               0.008383
                     51,                0.28886,                0.26899,                0.94757,                0.90132,                0.83883,                 0.9132,                0.75963,                0.70103,                0.53854,                 1.2353,                0.00835,                0.00835,                0.00835
                     52,                0.28495,                0.26622,                 0.9429,                0.89996,                0.82494,                0.91322,                0.76237,                0.69673,                0.53203,                 1.2278,               0.008317,               0.008317,               0.008317
                     53,                0.28557,                0.26823,                0.94431,                0.90028,                 0.8356,                0.91461,                0.76567,                0.68816,                0.52318,                 1.2196,               0.008284,               0.008284,               0.008284
                     54,                 0.2794,                0.26387,                0.94117,                  0.901,                0.84239,                0.91442,                0.76726,                0.68192,                0.51967,                  1.216,               0.008251,               0.008251,               0.008251
                     55,                0.28011,                 0.2604,                 0.9395,                0.89322,                0.85153,                0.91889,                0.77236,                0.67538,                0.50967,                 1.2123,               0.008218,               0.008218,               0.008218
                     56,                0.27985,                0.25743,                0.94116,                 0.9143,                0.84751,                0.92001,                0.77775,                0.67232,                0.50326,                 1.2105,               0.008185,               0.008185,               0.008185
                     57,                0.27808,                0.26081,                0.93839,                0.91415,                0.84209,                0.91592,                 0.7751,                0.67091,                0.50556,                 1.2076,               0.008152,               0.008152,               0.008152
                     58,                0.27749,                0.25825,                0.94045,                0.92243,                 0.8306,                0.91679,                0.77666,                0.66833,                0.50223,                 1.2068,               0.008119,               0.008119,               0.008119
                     59,                0.27619,                0.25655,                 0.9371,                0.92649,                0.84219,                0.92118,                 0.7794,                0.66497,                0.49885,                 1.2036,               0.008086,               0.008086,               0.008086
                     60,                0.27125,                0.25304,                0.93506,                0.92271,                0.84478,                0.92355,                0.78065,                0.66109,                0.49415,                  1.199,               0.008053,               0.008053,               0.008053
                     61,                0.27305,                0.25519,                0.93558,                0.92059,                0.84668,                0.92477,                0.78557,                0.65827,                0.49032,                 1.1962,                0.00802,                0.00802,                0.00802
                     62,                0.27509,                0.25476,                0.93682,                 0.9179,                0.85329,                0.92587,                 0.7857,                0.65545,                0.48678,                 1.1931,               0.007987,               0.007987,               0.007987
                     63,                0.26905,                0.25108,                0.93412,                0.92732,                0.85301,                0.92753,                0.78817,                0.65377,                0.48243,                 1.1909,               0.007954,               0.007954,               0.007954
                     64,                0.26987,                0.24988,                0.93539,                0.93593,                0.84881,                0.92844,                0.78785,                 0.6522,                0.48057,                 1.1888,               0.007921,               0.007921,               0.007921
                     65,                0.26712,                0.24792,                0.93365,                0.92911,                0.86492,                0.92891,                 0.7887,                0.65389,                0.47794,                 1.1898,               0.007888,               0.007888,               0.007888
                     66,                0.26776,                0.24712,                0.93195,                0.92486,                0.86441,                0.92928,                0.78862,                0.65375,                0.47868,                 1.1883,               0.007855,               0.007855,               0.007855
                     67,                0.26333,                0.24373,                0.92932,                 0.9327,                0.85666,                0.92943,                0.78854,                0.65182,                0.47648,                 1.1852,               0.007822,               0.007822,               0.007822
                     68,                0.26462,                0.24574,                0.93128,                0.92223,                0.86161,                0.92983,                0.78923,                0.65065,                0.47319,                 1.1828,               0.007789,               0.007789,               0.007789
                     69,                0.26301,                0.24152,                0.93133,                0.94406,                0.84581,                0.93039,                0.79083,                0.64952,                0.46943,                 1.1808,               0.007756,               0.007756,               0.007756
                     70,                  0.263,                0.24476,                0.92937,                0.94527,                0.84461,                0.93055,                0.79261,                0.64684,                0.46769,                 1.1761,               0.007723,               0.007723,               0.007723
                     71,                0.25989,                0.24208,                0.92652,                0.94346,                0.84494,                0.93104,                 0.7937,                0.64536,                0.46457,                 1.1734,                0.00769,                0.00769,                0.00769
                     72,                0.25725,                0.23716,                0.92667,                0.94266,                0.84461,                0.93236,                0.79481,                0.64473,                0.46284,                 1.1716,               0.007657,               0.007657,               0.007657
                     73,                0.26071,                0.23737,                0.92961,                0.91919,                0.86737,                 0.9339,                0.79566,                0.64421,                0.45956,                 1.1705,               0.007624,               0.007624,               0.007624
                     74,                0.26096,                0.23676,                0.92836,                0.91204,                0.88148,                0.93438,                0.79613,                0.64247,                0.45644,                 1.1691,               0.007591,               0.007591,               0.007591
                     75,                0.25909,                0.23791,                0.92924,                0.91361,                0.88334,                0.93462,                0.79623,                0.64117,                 0.4537,                 1.1683,               0.007558,               0.007558,               0.007558
                     76,                0.25536,                0.23657,                0.92411,                0.90874,                0.88685,                0.93472,                0.79747,                0.63903,                0.45267,                  1.166,               0.007525,               0.007525,               0.007525
                     77,                0.25591,                0.23594,                0.92502,                0.90961,                0.88419,                0.93543,                0.79974,                0.63782,                0.45063,                 1.1647,               0.007492,               0.007492,               0.007492
                     78,                0.25668,                 0.2354,                0.92709,                0.94494,                0.85256,                0.93575,                0.80037,                0.63616,                0.44838,                 1.1636,               0.007459,               0.007459,               0.007459
                     79,                0.25541,                 0.2346,                0.92627,                0.94618,                0.85308,                0.93636,                0.80172,                0.63411,                0.44687,                 1.1623,               0.007426,               0.007426,               0.007426
                     80,                0.25333,                0.23506,                0.92281,                0.94598,                0.85584,                0.93672,                0.80251,                0.63242,                0.44578,                 1.1607,               0.007393,               0.007393,               0.007393
                     81,                0.25245,                0.23156,                0.92325,                0.93236,                0.86219,                0.93712,                0.80377,                0.62974,                0.44463,                 1.1585,                0.00736,                0.00736,                0.00736
                     82,                0.25034,                0.22921,                0.92354,                0.92994,                0.86576,                0.93768,                0.80435,                0.62816,                0.44322,                 1.1572,               0.007327,               0.007327,               0.007327
                     83,                0.24945,                 0.2301,                0.92262,                0.94251,                0.86353,                0.93873,                0.80585,                0.62645,                0.44216,                  1.156,               0.007294,               0.007294,               0.007294
                     84,                0.24857,                  0.228,                0.92241,                0.92986,                0.87537,                0.93954,                0.80672,                0.62469,                0.43981,                  1.154,               0.007261,               0.007261,               0.007261
                     85,                0.25012,                0.22776,                0.92429,                 0.9279,                0.87821,                0.94012,                0.80865,                0.62283,                0.43778,                 1.1523,               0.007228,               0.007228,               0.007228
                     86,                0.24644,                0.22549,                0.91861,                0.92221,                0.88153,                0.94085,                 0.8093,                0.62077,                0.43541,                 1.1501,               0.007195,               0.007195,               0.007195
                     87,                0.24723,                0.22434,                0.91944,                 0.9256,                 0.8831,                 0.9415,                0.81023,                0.61959,                0.43476,                  1.149,               0.007162,               0.007162,               0.007162
                     88,                0.24547,                 0.2272,                0.91815,                0.92945,                 0.8831,                 0.9416,                0.80956,                 0.6181,                0.43401,                 1.1466,               0.007129,               0.007129,               0.007129
                     89,                0.24749,                0.22662,                0.91824,                0.93515,                0.87981,                0.94181,                0.81068,                0.61709,                0.43329,                 1.1449,               0.007096,               0.007096,               0.007096
                     90,                0.24703,                0.22749,                0.92002,                 0.9341,                0.88118,                0.94204,                0.81081,                 0.6162,                0.43197,                 1.1441,               0.007063,               0.007063,               0.007063
                     91,                 0.2458,                0.22492,                0.91926,                0.93492,                0.88264,                0.94209,                0.81055,                0.61543,                0.43143,                 1.1432,                0.00703,                0.00703,                0.00703
                     92,                0.24192,                0.22154,                0.91782,                0.93452,                0.88242,                 0.9405,                0.81049,                0.61474,                0.43051,                 1.1425,               0.006997,               0.006997,               0.006997
                     93,                0.24308,                0.22239,                0.91719,                0.93465,                0.88371,                0.94028,                0.81088,                0.61399,                0.42897,                 1.1417,               0.006964,               0.006964,               0.006964
                     94,                0.24112,                0.21977,                 0.9181,                0.93113,                0.88425,                0.94123,                0.81155,                0.61226,                0.42718,                   1.14,               0.006931,               0.006931,               0.006931
                     95,                0.24034,                0.22077,                0.91553,                0.93148,                  0.883,                0.94113,                0.81338,                0.61069,                0.42585,                 1.1385,               0.006898,               0.006898,               0.006898
                     96,                0.24037,                0.21983,                0.91725,                0.93489,                0.88453,                0.94127,                0.81376,                0.60944,                0.42412,                 1.1373,               0.006865,               0.006865,               0.006865
                     97,                0.23858,                0.21875,                0.91602,                0.93735,                0.88634,                0.94055,                0.81434,                0.60817,                0.42229,                 1.1361,               0.006832,               0.006832,               0.006832
                     98,                0.24073,                0.21883,                0.91767,                0.93902,                0.88685,                0.94093,                0.81357,                0.60662,                0.42249,                 1.1349,               0.006799,               0.006799,               0.006799
                     99,                0.23619,                0.21676,                0.91231,                0.94168,                0.88764,                0.94229,                0.81486,                0.60566,                0.42172,                 1.1338,               0.006766,               0.006766,               0.006766
                    100,                0.23819,                0.21643,                0.91286,                0.94044,                0.88976,                0.94363,                 0.8146,                0.60444,                0.42004,                 1.1323,               0.006733,               0.006733,               0.006733
