                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.25197,                0.25361,                0.93225,                0.93117,                0.82155,                0.91206,                0.77658,                0.65323,                0.50724,                 1.2141,               0.008812,               0.008812,               0.008812
                     38,                 0.2457,                0.24827,                 0.9317,                0.87712,                0.85953,                0.91583,                0.78098,                0.65152,                0.49202,                 1.2095,               0.008779,               0.008779,               0.008779
                     39,                0.24852,                0.24719,                0.92944,                0.92186,                0.83468,                0.91818,                0.78438,                0.64606,                0.48544,                 1.2037,               0.008746,               0.008746,               0.008746
                     40,                0.24388,                0.24336,                0.92609,                0.92006,                0.82474,                0.91478,                0.78399,                0.63613,                0.48608,                 1.1945,               0.008713,               0.008713,               0.008713
                     41,                0.24035,                 0.2429,                0.92452,                0.91368,                0.83482,                0.91867,                0.78751,                0.62758,                0.47902,                 1.1906,                0.00868,                0.00868,                0.00868
                     42,                0.23938,                0.24002,                0.92314,                0.90911,                0.84474,                0.91867,                0.79312,                0.63011,                0.47688,                 1.1869,               0.008647,               0.008647,               0.008647
                     43,                0.23714,                0.23498,                0.92221,                0.92298,                0.84838,                0.92747,                0.80003,                0.61464,                0.45223,                 1.1733,               0.008614,               0.008614,               0.008614
                     44,                0.23724,                0.23757,                0.92521,                0.92944,                0.84327,                0.92852,                0.80404,                0.60674,                0.44418,                 1.1664,               0.008581,               0.008581,               0.008581
                     45,                0.23503,                0.23659,                0.92175,                0.93694,                0.84331,                0.92974,                0.80866,                0.60494,                 0.4334,                 1.1641,               0.008548,               0.008548,               0.008548
                     46,                0.23428,                0.23608,                0.92204,                0.93283,                0.85371,                0.93193,                0.80967,                0.60046,                 0.4345,                 1.1585,               0.008515,               0.008515,               0.008515
                     47,                0.23124,                0.22707,                0.92161,                0.92917,                0.86048,                0.93372,                0.81291,                0.59524,                0.42209,                 1.1524,               0.008482,               0.008482,               0.008482
                     48,                0.22665,                0.22133,                0.91615,                0.92738,                0.86841,                0.93529,                0.81824,                0.58607,                0.41314,                 1.1422,               0.008449,               0.008449,               0.008449
                     49,                0.22878,                0.22668,                0.91847,                0.95385,                0.85977,                 0.9375,                0.82303,                0.57667,                0.40664,                 1.1333,               0.008416,               0.008416,               0.008416
                     50,                0.22642,                0.22383,                 0.9183,                0.95135,                0.86442,                0.93769,                0.82435,                0.57548,                0.40528,                 1.1376,               0.008383,               0.008383,               0.008383
                     51,                0.22548,                0.22429,                0.91789,                0.95871,                0.86205,                0.93901,                0.82707,                0.57327,                0.40173,                 1.1333,                0.00835,                0.00835,                0.00835
                     52,                0.22391,                0.22372,                0.91622,                0.96708,                0.86076,                0.94013,                0.82742,                0.57176,                0.39908,                 1.1308,               0.008317,               0.008317,               0.008317
                     53,                0.22183,                0.22349,                0.91588,                0.96119,                0.85691,                0.94032,                0.82842,                0.56695,                0.39756,                 1.1245,               0.008284,               0.008284,               0.008284
                     54,                0.21823,                0.21661,                0.91307,                 0.9668,                0.85569,                0.94168,                0.83215,                0.56232,                0.39873,                 1.1242,               0.008251,               0.008251,               0.008251
                     55,                0.21971,                0.21755,                0.91288,                0.96586,                0.85547,                0.94156,                0.83174,                0.55681,                0.39379,                 1.1201,               0.008218,               0.008218,               0.008218
                     56,                0.21559,                0.21194,                0.91113,                0.95948,                0.86541,                0.94131,                0.83207,                0.55592,                0.39305,                  1.118,               0.008185,               0.008185,               0.008185
                     57,                0.21536,                  0.213,                0.91184,                0.96989,                 0.8564,                0.94046,                0.83247,                0.54906,                0.38595,                  1.112,               0.008152,               0.008152,               0.008152
                     58,                0.21356,                0.21099,                0.90925,                0.96438,                0.85906,                0.94114,                0.83524,                0.54377,                0.38042,                 1.1081,               0.008119,               0.008119,               0.008119
                     59,                0.21513,                 0.2129,                0.91081,                0.96624,                0.85733,                0.94182,                 0.8365,                0.54213,                0.37598,                 1.1079,               0.008086,               0.008086,               0.008086
                     60,                0.20984,                0.20728,                0.90534,                 0.9471,                0.87638,                0.94193,                0.83612,                0.54211,                0.37581,                 1.1096,               0.008053,               0.008053,               0.008053
                     61,                0.21165,                0.20777,                 0.9083,                0.97213,                0.85825,                0.94256,                0.83681,                0.54266,                0.37154,                 1.1115,                0.00802,                0.00802,                0.00802
                     62,                0.21029,                0.20868,                0.90779,                0.94206,                 0.8954,                0.94504,                0.83975,                 0.5409,                0.36865,                 1.1104,               0.007987,               0.007987,               0.007987
                     63,                0.20936,                 0.2069,                0.90786,                0.96228,                 0.8802,                0.94504,                0.83984,                0.53882,                0.36861,                 1.1082,               0.007954,               0.007954,               0.007954
                     64,                0.20744,                0.20346,                0.90429,                 0.9601,                0.88583,                0.94518,                0.84123,                0.53657,                0.36512,                 1.1063,               0.007921,               0.007921,               0.007921
                     65,                0.20681,                0.20196,                0.90704,                0.96626,                0.88157,                0.94627,                0.84385,                0.53198,                0.36309,                 1.1014,               0.007888,               0.007888,               0.007888
                     66,                0.20584,                0.20154,                0.90592,                 0.9682,                 0.8812,                0.94721,                0.84519,                0.52913,                0.35956,                 1.0994,               0.007855,               0.007855,               0.007855
                     67,                0.20392,                0.20125,                0.90392,                0.97421,                0.87923,                0.94686,                0.84636,                0.52942,                0.35736,                 1.1005,               0.007822,               0.007822,               0.007822
                     68,                0.20482,                0.19999,                0.90391,                0.97254,                0.88004,                0.94729,                0.84563,                0.52793,                0.35341,                    1.1,               0.007789,               0.007789,               0.007789
                     69,                0.20239,                0.19756,                0.90325,                0.97209,                0.88038,                 0.9483,                0.84741,                0.52496,                0.35084,                 1.0984,               0.007756,               0.007756,               0.007756
                     70,                  0.203,                0.20022,                0.90278,                0.97221,                0.88137,                0.94803,                0.84733,                 0.5229,                0.34884,                 1.0968,               0.007723,               0.007723,               0.007723
                     71,                0.20313,                0.19823,                0.90407,                0.97662,                0.87951,                0.94795,                0.84721,                0.52198,                0.34707,                  1.096,                0.00769,                0.00769,                0.00769
                     72,                0.19935,                0.19386,                0.89949,                0.97113,                 0.8828,                0.94852,                0.84806,                0.51985,                0.34606,                  1.094,               0.007657,               0.007657,               0.007657
                     73,                0.20141,                0.19284,                0.90235,                0.97235,                 0.8828,                 0.9487,                0.84922,                0.51844,                0.34459,                 1.0924,               0.007624,               0.007624,               0.007624
                     74,                0.20047,                0.19415,                0.89977,                0.96992,                0.88267,                0.94892,                 0.8496,                0.51601,                 0.3419,                 1.0902,               0.007591,               0.007591,               0.007591
                     75,                0.20076,                0.19302,                  0.902,                0.96946,                0.88331,                0.94918,                0.85026,                0.51429,                0.34032,                 1.0879,               0.007558,               0.007558,               0.007558
                     76,                0.19558,                0.19402,                0.89852,                0.97007,                0.88396,                0.94852,                0.85226,                0.51289,                  0.337,                  1.087,               0.007525,               0.007525,               0.007525
