                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43454,                 0.3799,                 1.0375,                0.79268,                 0.7045,                0.78942,                0.57586,                 1.0275,                0.85996,                 1.5809,               0.008845,               0.008845,               0.008845
                     37,                0.42823,                0.37158,                 1.0338,                0.78222,                0.70283,                 0.7885,                0.57577,                 1.0058,                0.85626,                 1.5635,               0.008812,               0.008812,               0.008812
                     38,                0.42412,                0.36833,                 1.0347,                0.74899,                0.70349,                0.78443,                0.57412,                 1.0063,                0.87731,                 1.5814,               0.008779,               0.008779,               0.008779
                     39,                0.42497,                0.36863,                 1.0328,                 0.8018,                 0.6943,                0.78738,                0.57996,                 1.0089,                0.85439,                  1.573,               0.008746,               0.008746,               0.008746
                     40,                0.42014,                0.36207,                  1.027,                 0.8002,                0.70841,                0.79655,                0.59037,                0.99986,                0.83695,                 1.5634,               0.008713,               0.008713,               0.008713
                     41,                0.41882,                0.36082,                 1.0278,                0.78937,                0.71146,                0.79781,                0.59194,                0.99072,                0.82589,                 1.5603,                0.00868,                0.00868,                0.00868
                     42,                0.41742,                0.35884,                 1.0267,                0.80038,                0.71133,                0.79955,                0.59577,                0.99259,                0.82566,                 1.5553,               0.008647,               0.008647,               0.008647
                     43,                0.41471,                0.35303,                 1.0245,                0.84336,                0.69603,                0.80191,                0.60618,                0.96729,                0.80231,                 1.5368,               0.008614,               0.008614,               0.008614
                     44,                0.40933,                0.35165,                 1.0213,                0.78021,                0.73196,                0.80537,                0.60741,                0.97185,                0.79513,                 1.5474,               0.008581,               0.008581,               0.008581
                     45,                0.41181,                0.35279,                 1.0223,                0.77147,                0.74618,                0.80733,                0.60919,                0.96158,                0.79893,                 1.5274,               0.008548,               0.008548,               0.008548
                     46,                0.40618,                0.35069,                 1.0159,                 0.8072,                   0.72,                0.80971,                0.61189,                0.96172,                0.77548,                 1.5308,               0.008515,               0.008515,               0.008515
                     47,                0.40472,                0.34663,                 1.0203,                0.80857,                0.73027,                0.81292,                0.61752,                0.96094,                0.77603,                 1.5305,               0.008482,               0.008482,               0.008482
                     48,                0.40064,                0.34412,                 1.0146,                0.79894,                0.74945,                0.81901,                 0.6254,                0.94344,                0.76729,                 1.5099,               0.008449,               0.008449,               0.008449
